Table 6: Number of Canada Recovery Benefit (CRB) applications and total gross amount (in $000) by province and territory and eligibility period,,,
,,,
Eligibility Period,Province/Territory,Number of Applications,Total Gross Amount ($000)
19: 2021-06-06 to 2021-06-19,New Brunswick,13480,13480
19: 2021-06-06 to 2021-06-19,Quebec,153340,153340
19: 2021-06-06 to 2021-06-19,Ontario,520560,520560
19: 2021-06-06 to 2021-06-19,Manitoba,30330,30330
19: 2021-06-06 to 2021-06-19,Saskatchewan,25500,25500
19: 2021-06-06 to 2021-06-19,Alberta,136260,136260
19: 2021-06-06 to 2021-06-19,British Columbia,135190,135190
19: 2021-06-06 to 2021-06-19,Yukon,950,950
19: 2021-06-06 to 2021-06-19,Northwest Territories,1290,1290
19: 2021-06-06 to 2021-06-19,Nunavut,950,950
19: 2021-06-06 to 2021-06-19,Outside Canada,230,230
19: 2021-06-06 to 2021-06-19,Missing,-,-
19: 2021-06-06 to 2021-06-19,Total,1053100,1053100
20: 2021-06-20 to 2021-07-03,Newfoundland and Labrador,9520,9520
20: 2021-06-20 to 2021-07-03,Prince Edward Island,2320,2320
20: 2021-06-20 to 2021-07-03,Nova Scotia,20990,20990
20: 2021-06-20 to 2021-07-03,New Brunswick,13020,13020
20: 2021-06-20 to 2021-07-03,Quebec,147030,147030
20: 2021-06-20 to 2021-07-03,Ontario,494840,494840
20: 2021-06-20 to 2021-07-03,Manitoba,28700,28700
20: 2021-06-20 to 2021-07-03,Saskatchewan,24760,24760
20: 2021-06-20 to 2021-07-03,Alberta,129990,129990
20: 2021-06-20 to 2021-07-03,British Columbia,129880,129880
20: 2021-06-20 to 2021-07-03,Yukon,910,910
20: 2021-06-20 to 2021-07-03,Northwest Territories,1240,1240
20: 2021-06-20 to 2021-07-03,Nunavut,940,940
20: 2021-06-20 to 2021-07-03,Outside Canada,220,220
20: 2021-06-20 to 2021-07-03,Missing,-,-
20: 2021-06-20 to 2021-07-03,Total,1004340,1004340
21: 2021-07-04 to 2021-07-17,Newfoundland and Labrador,9220,9220
21: 2021-07-04 to 2021-07-17,Prince Edward Island,2230,2230
21: 2021-07-04 to 2021-07-17,Nova Scotia,20180,20180
21: 2021-07-04 to 2021-07-17,New Brunswick,12650,12650
21: 2021-07-04 to 2021-07-17,Quebec,142640,142640
21: 2021-07-04 to 2021-07-17,Ontario,466090,466090
21: 2021-07-04 to 2021-07-17,Manitoba,27020,27020
21: 2021-07-04 to 2021-07-17,Saskatchewan,23990,23990
21: 2021-07-04 to 2021-07-17,Alberta,124860,124860
21: 2021-07-04 to 2021-07-17,British Columbia,125330,125330
21: 2021-07-04 to 2021-07-17,Yukon,870,870
21: 2021-07-04 to 2021-07-17,Northwest Territories,1190,1190
21: 2021-07-04 to 2021-07-17,Nunavut,940,940
